year,ndocs,1,2,3,4,5,6,7,8,9,10
1995,11,0.0794212573625633,0.0553266586779043,0.0583122078849699,0.0331486400225351,0.281724820935834,0.120480851891575,0.0842368140288229,0.104335135084136,0.106590493431871,0.0764231206797876
1996,12,0.0420657541542988,0.144103902894762,0.110687328020635,0.037879569192142,0.144872709560616,0.175068906948624,0.0608157994915342,0.0870658721114394,0.119918532583022,0.0775216250429274
1997,10,0.116631562567112,0.163022180669916,0.0631713720465745,0.0398520160188678,0.137145908490364,0.124763632338974,0.0654281861764452,0.0976952484103733,0.15049792554294,0.0417919677384324
1998,4,0.0646046633513724,0.0963294739059877,0.0544432712934523,0.0523715606434178,0.233319185872389,0.0825362327357446,0.0892559066737709,0.121101797728745,0.159675492070457,0.0463624157246634
1999,12,0.109391581907546,0.0867544246556086,0.0688926802326805,0.0391885866950147,0.117581197333143,0.108014428153174,0.131402428847077,0.0967251825099781,0.147891958879005,0.094157530786772
2000,10,0.187469956362745,0.0999652946643899,0.0650959585419308,0.0499702361071005,0.121847189017284,0.0668065202699804,0.0728669169831316,0.171300417097078,0.110621641220644,0.0540558697357163
2001,19,0.0962984972779488,0.125458191502107,0.105536088562981,0.0377106528408854,0.134854024400049,0.0890341973103422,0.0583595233832384,0.173987286649655,0.115382315611586,0.0633792224612076
2002,19,0.0913853120066543,0.0902845181376217,0.0968720981083008,0.0511452718359845,0.176506274982584,0.0928491982467954,0.0773806392320154,0.11547836711479,0.120162202095288,0.0879361182399649
2003,21,0.185860993998187,0.114683198176886,0.0786813069542977,0.0472368656726954,0.12707285673333,0.0872684544625696,0.0709081617994611,0.110102602620188,0.0865588161489012,0.0916267434334831
2004,28,0.189992049931341,0.157079483341441,0.0702304524817589,0.0558122920387848,0.112942392679658,0.0614733379288514,0.055766431527305,0.114906444440158,0.0947893845952638,0.0870077310354382
2005,54,0.25056620708023,0.113265429496118,0.0612803041336373,0.0734573254919795,0.138358619329362,0.0770943509484301,0.046281546238268,0.0856876070031204,0.0805305192182213,0.073478091060634
2006,55,0.132570845304262,0.12873701042432,0.0916485326040055,0.0876241676582607,0.108437738201672,0.114295238859621,0.0715747039584626,0.097641652404793,0.0893126513660612,0.078157459218542
2007,108,0.140448335170094,0.13608758153051,0.131979499328509,0.119818992530493,0.101765582226602,0.0699265554114881,0.056773724594006,0.0610507103701031,0.0806721405260369,0.101476878312159
2008,103,0.0981790398465354,0.144836338816405,0.0674991152298123,0.25621514564922,0.072079414203179,0.0664027540331364,0.0849109758862486,0.0565358792347733,0.087568525741579,0.0657728113591112
2009,71,0.113215281911918,0.153645317906243,0.0819819941553597,0.173463571674677,0.0790291590164333,0.0437867705666142,0.106840801649998,0.0767699151712697,0.0648940331659212,0.106373154781566
2010,76,0.0783875799012835,0.12277419532851,0.108238087005363,0.137571047852447,0.109586951955521,0.0803785502866662,0.0706347487243653,0.0720892475581587,0.133263821548219,0.0870757698394661
2011,93,0.106967207623568,0.105574026316381,0.0844700936676977,0.157411566359988,0.0773221211850636,0.0787289192999904,0.0841316454919666,0.108028748164661,0.109732070478483,0.0876336014122006
2012,113,0.0955256398536177,0.077494124719832,0.0544496525758173,0.0800470552721701,0.111592529401849,0.0881219139392041,0.209711648632477,0.126771049556202,0.0619281521823918,0.0943582338664387
2013,62,0.115202816342472,0.119581585604881,0.0860089831531849,0.0889676351881511,0.123048683541291,0.0704520104489655,0.118892741820179,0.0782151808874879,0.100046321985771,0.0995840410276165
2014,66,0.208408999449702,0.0845286019375197,0.0571449714907492,0.0824180120245649,0.0905155566605485,0.0584315550604447,0.0946954093473825,0.0786667158576853,0.108310050499343,0.13688012767206
2015,156,0.135333732548163,0.137632275732239,0.0439203363528144,0.0557651689263954,0.10247947919845,0.0470796580408974,0.190469071853989,0.111853810999852,0.0739904967517691,0.10147596959543
2016,80,0.222572201063161,0.152967285618848,0.0562305000183473,0.0622651739865251,0.0943216383442304,0.0531217930877683,0.09776285009114,0.0697808022929436,0.0730511619922077,0.117926593504828
2017,110,0.16653172535156,0.138865776969236,0.0563510795078184,0.0630162443276212,0.0955449894236552,0.0760805631888625,0.149150337667268,0.0890435825520829,0.060862280870347,0.104553420141548
2018,49,0.139139774244661,0.14792166019763,0.050988348877906,0.0585769138034035,0.124741435983933,0.0804864961302424,0.0917605597367577,0.114542352616783,0.0851151043668538,0.10672735404183
2019,46,0.133959192493568,0.149734582874235,0.0410652759710146,0.0659025562206117,0.0961356972015726,0.163781147471116,0.0659350994382771,0.0854585547592942,0.0694599639836737,0.128567929586637
2020,20,0.188846172961833,0.15190128354412,0.0533915079552132,0.0378214936745649,0.171939042832284,0.0738688515878435,0.0514369349133873,0.06134160526417,0.0541090966977971,0.155344010568787
2021,21,0.110754856558845,0.172027269694234,0.0458889493589832,0.0949601074975977,0.107362210319432,0.104121797381366,0.0952324589470263,0.0896153664229064,0.0789701278906375,0.101066855928973
