year,ndocs,1,2,3,4,5,6,7,8
2004,28,0.109763682671352,0.0751686339729547,0.100588634983933,0.153512973492609,0.172192328560708,0.0715465672848993,0.073037997491689,0.244189181541855
2005,54,0.11180558865112,0.0628283361387189,0.125993552492768,0.119232042951176,0.135112878496682,0.0876032135395553,0.0565287812478214,0.300895606482159
2006,55,0.111946050675801,0.0945210860723752,0.142285175349095,0.140351005490182,0.153853774462521,0.105498123070873,0.0829769449042127,0.168567839974941
2007,108,0.104721381507074,0.131068628297903,0.104141681758885,0.0938912707938961,0.16783457850049,0.147814045081892,0.0722594405664139,0.178268973493445
2008,103,0.098362293482893,0.0711615275643284,0.0886198008506367,0.0768385939157014,0.184405429834651,0.246461687709329,0.110768557320853,0.123382109321608
2009,71,0.0735150694743632,0.0850634041624465,0.0723095530995594,0.118309176546371,0.157818380271086,0.199133994229112,0.138104687318193,0.155745734898869
2010,76,0.168724731459174,0.106966573710967,0.105496721423379,0.124366652781821,0.149752040409734,0.149002294033725,0.0885876349697192,0.107103351211481
2011,93,0.128150013379571,0.0848929282098132,0.105145891953014,0.137423279863389,0.108353552828431,0.181397728722605,0.118479069128711,0.136157535914467
2012,113,0.0824102860723786,0.0586054796332711,0.135167129749574,0.179635962892742,0.082729278113309,0.10461202570592,0.2226334496364,0.134206388196406
